Subj,Ratings,ColorID,ColorProtoF,ProtoStr,ProtoC,Name,NameC,ColorWarmnessC,FreqInFreqStr,FreqInFreqC,Freq,TypicalityStr,TypicalityC,NoticedColorStr,NoticedColorC,ExposureStr,ExposureC,deltaE
10133,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
10492,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
10528,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
10567,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
10656,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Non-noticers,-0.5,UnseenAch,0,60
10785,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
10811,0.22375,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Noticers,0.5,UnseenAch,0,60
10889,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
10897,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Noticers,0.5,UnseenAch,0,60
10970,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
10988,0.2875,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Noticers,0.5,UnseenAch,0,60
11056,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Non-noticers,-0.5,UnseenAch,0,60
10420,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Non-noticers,-0.5,UnseenAch,0,60
10453,0.24125,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
15562,0.14375,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
15731,0.01625,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Noticers,0.5,UnseenAch,0,60
15738,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
15767,0.03125,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Noticers,0.5,UnseenAch,0,60
15838,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Noticers,0.5,UnseenAch,0,60
15842,0.13375,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Noticers,0.5,UnseenAch,0,60
16113,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Noticers,0.5,UnseenAch,0,60
16142,0.0125,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Non-noticers,-0.5,UnseenAch,0,60
16242,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Non-noticers,-0.5,UnseenAch,0,60
16304,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
16379,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Noticers,0.5,UnseenAch,0,60
16386,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Noticers,0.5,UnseenAch,0,60
16739,1,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Non-noticers,-0.5,UnseenAch,0,60
16837,0,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Noticers,0.5,UnseenAch,0,60
16894,0.99375,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Non-noticers,-0.5,UnseenAch,0,60
16970,1,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw NP,-0.5,Non-noticers,-0.5,UnseenAch,0,60
16973,0.42875,Black,Black,Achr,0,Filk,0.5,0,Achr,0,0,Saw P,0.5,Noticers,0.5,UnseenAch,0,60
